slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
jamesle01,LeBron James,LOS ANGELES LAKERS,HOME,PHOENIX SUNS,WIN,2284,11,21,1,4,8,12,2,11,12,2,1,5,0,29.9
antetgi01,Giannis Antetokounmpo,MILWAUKEE BUCKS,HOME,MINNESOTA TIMBERWOLVES,WIN,1889,13,22,3,7,3,8,3,14,4,0,2,4,5,24.3
augusdj01,D.J. Augustin,ORLANDO MAGIC,AWAY,WASHINGTON WIZARDS,WIN,1885,7,15,2,6,9,10,0,3,9,2,0,1,2,24.3
oubreke01,Kelly Oubre,PHOENIX SUNS,AWAY,LOS ANGELES LAKERS,LOSS,2179,9,14,3,5,5,8,3,3,3,3,0,1,4,24.1
robinmi01,Mitchell Robinson,NEW YORK KNICKS,HOME,PORTLAND TRAIL BLAZERS,WIN,1645,11,11,0,0,0,0,4,4,0,1,1,0,1,24.0
davisan02,Anthony Davis,LOS ANGELES LAKERS,HOME,PHOENIX SUNS,WIN,2275,9,16,1,3,7,8,1,10,2,0,1,3,1,20.4
whiteha01,Hassan Whiteside,PORTLAND TRAIL BLAZERS,AWAY,NEW YORK KNICKS,LOSS,1989,6,13,0,0,5,7,7,5,0,2,3,0,1,19.6
bookede01,Devin Booker,PHOENIX SUNS,AWAY,LOS ANGELES LAKERS,LOSS,2234,11,23,1,3,9,10,0,2,7,1,0,6,3,19.2
randlju01,Julius Randle,NEW YORK KNICKS,HOME,PORTLAND TRAIL BLAZERS,WIN,1792,8,15,3,6,3,4,1,12,3,1,1,3,3,18.2
bealbr01,Bradley Beal,WASHINGTON WIZARDS,HOME,ORLANDO MAGIC,LOSS,1817,8,20,2,8,9,10,1,3,5,0,0,2,2,18.1
anthoca01,Carmelo Anthony,PORTLAND TRAIL BLAZERS,AWAY,NEW YORK KNICKS,LOSS,1877,11,17,3,5,1,2,1,6,0,0,0,1,4,18.0
bradlav01,Avery Bradley,LOS ANGELES LAKERS,HOME,PHOENIX SUNS,WIN,1804,9,11,0,2,0,0,1,4,1,3,0,1,2,17.7
napiesh01,Shabazz Napier,MINNESOTA TIMBERWOLVES,AWAY,MILWAUKEE BUCKS,LOSS,1867,7,13,4,7,4,4,0,6,3,0,1,2,4,16.7
fultzma01,Markelle Fultz,ORLANDO MAGIC,AWAY,WASHINGTON WIZARDS,WIN,1341,6,12,1,3,3,4,1,3,8,2,0,1,3,16.6
ntilila01,Frank Ntilikina,NEW YORK KNICKS,HOME,PORTLAND TRAIL BLAZERS,WIN,1380,3,5,1,3,2,2,0,3,10,1,2,0,4,15.4
aytonde01,Deandre Ayton,PHOENIX SUNS,AWAY,LOS ANGELES LAKERS,LOSS,1892,7,13,0,0,2,2,4,10,2,1,1,2,5,14.6
