,name,team,date,location,opponent,made_field_goals,made_two_point_field_goals,attempted_two_point_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,attempted_free_throws,made_free_throws,offensive_rebounds,defensive_rebounds,assists,blocks,turnovers,steals,seconds_played,Opponent Defensive Rating,Opponent Turnover %
0,LeBron James,LOS ANGELES LAKERS,2020-01-01,HOME,PHOENIX SUNS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Giannis Antetokounmpo,MILWAUKEE BUCKS,2020-01-01,HOME,MINNESOTA TIMBERWOLVES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,D.J. Augustin,ORLANDO MAGIC,2020-01-01,AWAY,WASHINGTON WIZARDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Kelly Oubre,PHOENIX SUNS,2020-01-01,AWAY,LOS ANGELES LAKERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Mitchell Robinson,NEW YORK KNICKS,2020-01-01,HOME,PORTLAND TRAIL BLAZERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Anthony Davis,LOS ANGELES LAKERS,2020-01-01,HOME,PHOENIX SUNS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Hassan Whiteside,PORTLAND TRAIL BLAZERS,2020-01-01,AWAY,NEW YORK KNICKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Devin Booker,PHOENIX SUNS,2020-01-01,AWAY,LOS ANGELES LAKERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Julius Randle,NEW YORK KNICKS,2020-01-01,HOME,PORTLAND TRAIL BLAZERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Bradley Beal,WASHINGTON WIZARDS,2020-01-01,HOME,ORLANDO MAGIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
